Xiangshi Log: 2020-10-04 16:25:56,885 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-04 16:25:58,768 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-04 18:43:22,498 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-04 18:43:36,357 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-09 20:42:13,570 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-10 19:58:55,197 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-10 19:58:55,197 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:16:20,583 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:16:20,583 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:16:34,051 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:16:34,051 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:17:03,402 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:17:03,402 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:17:44,121 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:17:44,121 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:17:49,882 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 14:17:49,882 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:22:50,998 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:22:50,998 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:22:50,998 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:22:50,998 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:22:50,998 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:22:50,998 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:22:50,998 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:22:50,998 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:01,243 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:01,243 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:07,655 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:07,655 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:12,850 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:12,850 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:12,850 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:12,850 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:12,850 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:12,850 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:12,850 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:12,850 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:34,089 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:34,089 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:34,089 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:34,089 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:34,089 - INFO: Starting up Xiangshi
Xiangshi Log: 2020-10-15 16:23:34,089 - INFO: Starting up Xiangshi
